ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	amendoim_pd	el	20_30	b2	1.78	1.8	98.93	267	102	631	0.05	0.29	0.34	2.7	0.5	0.36	1.18	0.02	2	10	5.3	0.5	8	4	19	4.46	7.67	0.07	0.67	1.15
4	amendoim_pd	el	20_30	b3	1.74	1.81	96.54	267	102	631	0.06	0.29	0.35	2.7	0.46	0.24	1.01	0.02	2	9	4.3	0.7	5	2	18	3.91	6.73	0.09	0.95	1.63
4	amendoim_pd	el	30_70	b1	1.55	1.75	88.34	322	107	571	0.08	0.34	0.42	2.69	0.26	0.5	5.33	0.02	1	11	4.7	0.5	12	3.5	18	5.97	38.47	0.04	0.42	2.67
4	amendoim_pd	el	30_70	b2	1.66	1.76	94.3	322	107	571	0.08	0.3	0.38	2.69	0.64	0.6	6.14	0.02	1	10	5	0.5	11	4	18	5	32.23	0.07	0.65	4.19
4	amendoim_pd	el	30_70	b3	1.69	1.76	95.76	322	107	571	0.08	0.29	0.37	2.69	0.45	0.55	5	0.02	1	9	4.7	0.6	11.5	3	15	4.42	28.48	0.06	0.55	3.53
4	amendoim_pd	l	0_20	b1	1.66	1.83	90.74	224.4	102.8	673	0.09	0.3	0.38	2.69	0.6	0.48	4.67	0.03	1.4	12	4.18	1.07	8	4.1	22.4	5.62	12.9	0.69	6.88	0.69
4	amendoim_pd	l	0_20	b2	1.68	1.83	91.49	224.4	102.8	673	0.09	0.29	0.38	2.69	0.8	0.4	4.22	0.03	1.4	11	4.76	0.88	7.8	3.2	16.4	4.7	10.98	0.48	4.75	0.48
4	amendoim_pd	l	0_20	b3	1.72	1.83	94.05	224.4	102.8	673	0.08	0.28	0.36	2.69	0.83	0.38	5.23	0.03	3.8	11.9	4.44	1.26	7	4.6	22.6	5.59	13.12	0.54	5.37	0.56
4	amendoim_pd	l	20_30	b1	1.55	1.79	86.57	267	102	631	0.11	0.32	0.43	2.7	0.82	0.41	6.71	0.03	1	13	4.3	0.7	7	5	25	6.14	9.58	0.67	6.68	1.08
4	amendoim_pd	l	20_30	b2	1.56	1.8	86.72	267	102	631	0.15	0.27	0.42	2.7	0.56	0.47	5.09	0.02	1	9	4.9	0.6	9	3	13	4.19	6.54	0.35	3.48	0.56
4	amendoim_pd	l	20_30	b3	1.72	1.8	95.63	267	102	631	0.08	0.28	0.36	2.7	1.08	0.34	4.3	0.02	3	9	4.6	0.8	5	4	16	4.28	6.68	0.75	7.51	1.21
4	amendoim_pd	l	30_70	b1	1.67	1.76	95.04	322	107	571	0.04	0.34	0.38	2.69	0.71	0.41	0.73	0.02	1	11	4.6	0.6	13	6	18	5.3	35.85	0.52	5.15	3.32
4	amendoim_pd	l	30_70	b2	1.75	1.76	99.71	322	107	571	0.02	0.33	0.35	2.69	1.08	0.32	0.72	0.02	1	10	5.5	0.5	11	7	15	4.82	32.59	0.57	5.71	3.68
4	amendoim_pd	l	30_70	b3	1.67	1.75	95.1	322	107	571	0.06	0.32	0.38	2.69	1.13	0.26	0.61	0.02	2	11	4.7	0.7	9	6	18	5.77	38.98	0.62	6.19	3.99
4	amendoim_pp	el	0_20	b1	1.69	1.82	92.58	224.4	102.8	673	0.07	0.3	0.37	2.69	0.75	0.39	1.44	0.04	3.5	13.4	4.44	1.24	8.5	4.7	21.6	6.54	13.69	0.04	0.40	0.44
4	amendoim_pp	el	0_20	b2	1.79	1.83	97.68	224.4	102.8	673	0.07	0.27	0.34	2.69	0.98	0.42	1.36	0.03	1.8	10.4	5.48	0.97	11	5.2	18.9	5.48	11.57	0.07	0.72	0.74
4	amendoim_pp	el	0_20	b3	1.71	1.83	93.63	224.4	102.8	673	0.07	0.29	0.36	2.69	0.9	0.37	1.44	0.03	2.6	11.4	4.9	1.08	8.2	5.2	16.4	5.63	12.84	0.06	0.57	0.62
